id,LivArea,grade,Area_of_house(excluding_basement),Area_of_basement,number_of_bedrooms,YearBuilt,SalePrice
6762810145,3650,10,3370,280,5,1921,2380000
6762810635,2920,8,1910,1010,4,1909,1400000
6762810998,2910,8,2910,0,5,1939,1200000
6762812605,3310,9,3310,0,4,2001,838000
6762812919,2710,8,1880,830,3,1929,805000
6762813105,2600,9,1700,900,3,1951,790000
6762813157,3660,10,3660,0,5,2006,785000
6762813599,2240,8,1550,690,3,1923,750000
6762813600,2390,8,1440,950,3,1955,750000
6762814461,2200,7,1300,900,4,1920,698000
6762814787,2820,8,2820,0,5,1979,675000
6762815225,1820,7,1640,180,4,1945,650000
6762815461,1520,7,1520,0,4,1945,640000
6762815654,2710,9,2710,0,4,2000,630000
6762815737,1750,9,1470,280,3,2005,626000
6762815748,2820,9,2820,0,4,2014,625000
6762815749,2730,9,1560,1170,4,2007,625000
6762815986,2360,8,1360,1000,3,1948,615000
6762816059,2730,9,2730,0,4,1991,612500
6762816236,3240,10,3240,0,3,1995,604000
6762816633,2330,8,1970,360,3,1980,588500
6762817449,3310,8,3310,0,4,2012,555000
6762817570,1940,7,1140,800,4,1976,550000
6762817571,2910,8,2910,0,3,1979,550000
6762819227,2860,8,2190,670,4,2004,499950
6762819342,1600,8,1130,470,4,1959,495000
6762819448,2190,9,2190,0,4,1968,491500
6762819463,880,7,880,0,2,1938,490000
6762819732,2710,9,2710,0,4,1989,482000
6762820114,2210,8,1460,750,5,1976,470000
6762820382,1710,7,1710,0,3,1948,463000
6762820510,2680,8,2680,0,3,2013,459990
6762820718,2430,7,1570,860,3,1985,452500
6762821047,1270,8,1270,0,3,2001,445700
6762821205,2160,8,1080,1080,4,1966,440000
6762821206,800,7,800,0,2,1944,440000
6762821318,1770,8,1770,0,3,1990,439950
6762821390,1970,9,1970,0,3,1977,437500
6762821424,1770,8,1600,170,3,2007,436110
6762821444,1450,7,1450,0,4,1954,435000
6762821632,1920,7,1070,850,4,1954,430000
6762822054,2000,8,1000,1000,3,1963,420000
6762822175,1570,7,1570,0,3,1956,419000
6762822578,1930,8,1930,0,3,1996,407500
6762822721,1960,8,1650,310,3,1957,403000
6762822791,3630,9,2300,1330,4,1979,400000
6762823455,1320,8,1040,280,3,2008,385000
6762823582,1560,7,1560,0,4,1967,382500
6762824201,3110,8,3110,0,4,1997,367500
6762824245,1090,7,1090,0,3,1955,365000
6762825272,1930,8,1930,0,3,1966,342000
6762825549,1350,8,1350,0,2,1976,335000
6762825550,1580,7,1580,0,3,1978,335000
6762826461,1160,7,1160,0,3,1968,315000
6762826606,1340,7,1340,0,3,1955,313000
6762826811,850,7,850,0,2,1950,308500
6762827056,2540,7,2540,0,3,2006,300000
6762827347,1630,7,1280,350,2,2009,295000
6762827693,1850,7,1090,760,3,1992,287200
6762827749,2200,8,2200,0,4,1987,285000
6762827750,2090,8,1360,730,3,1987,285000
6762827836,1800,7,1800,0,3,1968,284000
6762828162,1180,6,1180,0,3,1983,275000
6762828790,1480,7,1480,0,4,1974,260000
6762828945,1370,7,1370,0,3,1987,257950
6762829578,1200,7,1200,0,3,1965,242500
6762829789,1210,6,1210,0,2,1949,235000
6762815750,2920,8,2920,0,4,2012,625000
6762817521,900,7,900,0,2,1944,553000
6762823736,1650,7,1130,520,3,1986,379880
6762826674,1010,6,1010,0,3,1973,310000
6762813188,2850,10,1990,860,3,1980,783500
6762813282,2680,9,2680,0,2,2004,775000
6762815716,2280,7,1140,1140,4,1900,628000
6762824246,2200,8,1570,630,3,1988,365000
6762825730,2530,8,2010,520,4,1990,331950
6762810164,13540,12,9410,4130,7,1999,2280000
6762810615,2220,9,2220,0,2,2000,1430000
6762810636,4010,9,2850,1160,5,1971,1400000
6762811248,4340,11,4340,0,4,1992,1090000
6762811411,3190,9,1690,1500,5,1976,1030000
6762812053,1330,7,1330,0,3,1928,900000
6762812148,4420,10,3410,1010,4,2006,890000
6762812149,4490,10,3200,1290,5,2006,890000
6762812331,3690,10,3690,0,4,1998,865000
6762812415,2600,8,1300,1300,4,1960,855000
6762812659,2170,9,1610,560,4,1982,831000
6762812664,3400,9,3400,0,4,2007,830000
6762812761,2920,9,2780,140,6,1908,823000
6762812961,3180,10,3180,0,5,1990,800866
6762812963,3240,10,3240,0,3,1994,800000
6762813152,1330,8,1330,0,3,1961,787000
6762813210,2730,9,2730,0,4,1996,780000
6762813361,2350,8,1810,540,3,1939,770000
6762813551,2120,7,1620,500,4,1960,755000
6762813766,2010,7,2010,0,4,1902,740000
6762813838,3180,9,3180,0,4,2000,736500
6762814206,2450,8,2450,0,4,2013,712198
6762814291,2490,9,2490,0,3,2003,705380
6762814896,1680,9,1680,0,3,1909,670000
6762814966,2800,8,1660,1140,4,1963,665000
6762815131,1390,7,1050,340,4,1924,657100
6762815226,2160,8,1400,760,3,1949,650000
6762815643,2440,9,2440,0,4,2014,631625
6762815727,1990,8,1210,780,4,1973,627000
6762815880,1480,9,1480,0,3,2005,620000
6762815955,1800,7,1080,720,3,1942,618500
6762815987,2300,9,1960,340,4,1977,615000
6762816274,1670,8,1670,0,3,1976,600000
6762816275,1880,7,1040,840,3,1945,600000
6762816667,1770,6,1520,250,2,1949,585000
6762816779,2540,8,1320,1220,2,1942,580000
6762817053,2010,8,1330,680,3,1975,570000
6762817314,1900,8,1900,0,3,1987,560000
6762817450,1940,8,1940,0,3,2009,555000
6762817755,1140,7,1140,0,2,1908,549000
6762817756,2910,8,2910,0,4,2008,549000
6762817929,2740,8,1370,1370,5,1960,541125
6762818230,1270,8,1110,160,2,2000,531000
6762818400,2550,7,1810,740,5,1960,525888
6762818543,1560,6,780,780,3,1944,524000
6762818924,1790,8,1790,0,3,2010,509900
6762819061,2070,7,1160,910,4,1963,501000
6762819262,2910,7,2910,0,4,2006,499000
6762819312,3200,8,1600,1600,6,1953,497300
6762819594,2010,7,1470,540,4,1977,487585
6762819620,2340,8,1340,1000,4,1979,485000
6762819874,3040,9,3040,0,3,2007,478000
6762820970,1480,7,1480,0,4,1928,449250
6762821445,1840,7,1540,300,5,1942,435000
6762822174,1590,8,1590,0,2,2014,419190
6762822204,1410,7,1410,0,3,1930,418000
6762822246,1408,8,1408,0,3,2005,416286
6762822266,1620,8,1540,80,3,2010,415000
6762822453,1800,8,1360,440,3,1978,410000
6762822604,1410,8,1410,0,3,2005,406100
6762822620,1410,8,1140,270,2,2006,405000
6762822792,2110,7,2110,0,2,1948,400000
6762822793,840,7,840,0,2,1955,400000
6762823019,2230,7,2230,0,3,1954,398750
6762823544,3090,8,1750,1340,5,1968,384900
6762823717,1970,7,1140,830,4,1960,379950
6762824223,1571,8,1571,0,3,2008,366750
6762825311,1120,7,1120,0,5,1962,340000
6762825312,1160,7,1160,0,2,2001,340000
6762825869,1140,6,1140,0,2,1949,329950
6762825928,2370,9,2370,0,4,1998,328000
6762826775,2310,7,2310,0,4,2006,309950
6762826776,1880,7,1880,0,3,1994,309950
6762827057,1050,7,1050,0,3,1986,300000
6762827694,1450,7,1450,0,3,1953,287000
6762829320,1550,6,1550,0,3,1958,249950
6762829453,1920,7,1000,920,3,1984,245000
6762829917,1200,6,1200,0,2,1958,232000
6762830263,1240,7,1240,0,4,1971,220000
6762830332,1120,6,1120,0,4,1969,219900
6762830530,1340,5,1340,0,3,1953,210000
6762830531,2050,6,1430,620,5,1956,210000
6762830664,810,6,810,0,2,1944,206000
6762831089,1490,7,1490,0,3,1962,184000
6762810285,4510,10,4510,0,5,1969,1870000
6762810310,4490,10,3930,560,5,2013,1800000
6762810471,3760,9,2400,1360,4,1950,1580000
6762810939,3490,10,2280,1210,4,1928,1230000
6762811141,3370,9,1970,1400,4,1970,1140000
6762811335,2200,9,1610,590,3,2008,1050000
6762811613,2690,10,2690,0,3,2014,979000
6762811999,3020,9,2080,940,3,1954,910000
6762812370,3740,9,3740,0,4,2000,860000
6762813278,3040,8,3040,0,4,2008,776000
6762813464,3880,10,3880,0,4,1987,762300
6762813840,2290,9,2290,0,4,1988,736000
6762813978,3200,10,3200,0,4,1998,725126
6762814626,3030,9,3030,0,4,1999,685000
6762814788,930,6,930,0,2,1951,675000
